verkauf_id,produkt_id,datum,menge,preis,umsatz
69,P001,2023-03-10,57,55.17,3144.69
70,P001,2023-03-11,66,53.16,3508.56
71,P001,2023-03-12,63,58.33,3674.79
72,P001,2023-03-13,67,54.56,3655.52
73,P001,2023-03-14,58,61.91,3590.78
74,P001,2023-03-15,40,60.49,2419.6
75,P001,2023-03-16,44,59.03,2597.32
76,P001,2023-03-17,61,51.6,3147.6
77,P001,2023-03-18,40,59.85,2394.0
78,P001,2023-03-19,49,60.67,2972.83
79,P001,2023-03-20,54,53.61,2894.94
80,P001,2023-03-21,54,65.04,3512.16
81,P001,2023-03-22,56,53.05,2970.8
82,P001,2023-03-23,41,64.86,2659.26
83,P001,2023-03-24,50,64.15,3207.5
84,P001,2023-03-25,38,63.25,2403.5
85,P001,2023-03-26,40,59.32,2372.8
86,P001,2023-03-27,66,52.39,3457.74
87,P001,2023-03-28,45,64.45,2900.25
88,P001,2023-03-29,64,56.08,3589.12
89,P001,2023-03-30,61,56.23,3430.03
90,P001,2023-03-31,46,64.3,2957.8
91,P001,2023-04-01,45,62.69,2821.05
92,P001,2023-04-02,69,53.42,3685.98
93,P001,2023-04-03,49,64.47,3159.03
94,P001,2023-04-04,65,51.07,3319.55
95,P001,2023-04-05,89,53.4,4752.6
96,P001,2023-04-06,56,60.77,3403.12
97,P001,2023-04-07,56,54.35,3043.6
98,P001,2023-04-08,69,55.87,3855.03
99,P001,2023-04-09,58,62.19,3607.02
100,P001,2023-04-10,56,60.85,3407.6
101,P001,2023-04-11,53,59.51,3154.03
102,P001,2023-04-12,57,54.97,3133.29
103,P001,2023-04-13,63,54.65,3442.95
104,P001,2023-04-14,50,64.37,3218.5
105,P001,2023-04-15,53,60.46,3204.38
106,P001,2023-04-16,68,59.64,4055.52
107,P001,2023-04-17,62,58.38,3619.56
108,P001,2023-04-18,55,55.2,3036.0
109,P001,2023-04-19,61,51.36,3132.96
110,P001,2023-04-20,50,65.1,3255.0
111,P001,2023-04-21,44,65.3,2873.2
112,P001,2023-04-22,81,51.22,4148.82
113,P001,2023-04-23,50,64.91,3245.5
114,P001,2023-04-24,45,65.44,2944.8
115,P001,2023-04-25,42,63.78,2678.76
116,P001,2023-04-26,38,63.76,2422.88
117,P001,2023-04-27,64,55.74,3567.36
118,P001,2023-04-28,38,65.03,2471.14
119,P001,2023-04-29,45,61.43,2764.35
120,P001,2023-04-30,55,60.22,3312.1
121,P001,2023-05-01,48,65.84,3160.32
122,P001,2023-05-02,42,64.15,2694.3
123,P001,2023-05-03,63,62.1,3912.3
124,P001,2023-05-04,75,56.38,4228.5
125,P001,2023-05-05,71,55.39,3932.69
126,P001,2023-05-06,55,64.0,3520.0
127,P001,2023-05-07,53,64.69,3428.57
128,P001,2023-05-08,93,62.96,5855.28
129,P001,2023-05-09,64,60.74,3887.36
130,P001,2023-05-10,55,64.34,3538.7
131,P001,2023-05-11,58,56.06,3251.48
132,P001,2023-05-12,56,59.66,3340.96
133,P001,2023-05-13,107,51.53,5513.71
134,P001,2023-05-14,50,55.29,2764.5
135,P001,2023-05-15,53,59.85,3172.05
136,P001,2023-05-16,85,52.9,4496.5
137,P001,2023-05-17,53,58.82,3117.46
138,P001,2023-05-18,62,60.33,3740.46
139,P001,2023-05-19,74,52.27,3867.98
140,P001,2023-05-20,53,59.1,3132.3
141,P001,2023-05-21,41,60.55,2482.55
142,P001,2023-05-22,54,62.92,3397.68
143,P001,2023-05-23,59,55.05,3247.95
144,P001,2023-05-24,75,51.37,3852.75
145,P001,2023-05-25,52,65.43,3402.36
146,P001,2023-05-26,71,57.12,4055.52
147,P001,2023-05-27,65,53.59,3483.35
148,P001,2023-05-28,53,59.23,3139.19
149,P001,2023-05-29,45,61.71,2776.95
150,P001,2023-05-30,56,65.31,3657.36
151,P001,2023-05-31,73,62.06,4530.38
152,P001,2023-06-01,74,57.28,4238.72
153,P001,2023-06-02,83,54.71,4540.93
154,P001,2023-06-03,70,51.21,3584.7
155,P001,2023-06-04,79,52.73,4165.67
156,P001,2023-06-05,69,58.1,4008.9
157,P001,2023-06-06,46,52.46,2413.16
158,P001,2023-06-07,61,53.59,3268.99
159,P001,2023-06-08,80,57.5,4600.0
160,P001,2023-06-09,46,60.52,2783.92
161,P001,2023-06-10,95,51.67,4908.65
162,P001,2023-06-11,49,58.54,2868.46
163,P001,2023-06-12,45,63.84,2872.8
164,P001,2023-06-13,81,52.05,4216.05
165,P001,2023-06-14,58,60.63,3516.54
166,P001,2023-06-15,47,65.09,3059.23
167,P001,2023-06-16,75,59.62,4471.5
168,P001,2023-06-17,52,57.86,3008.72
169,P001,2023-06-18,58,59.17,3431.86
170,P001,2023-06-19,54,65.41,3532.14
171,P001,2023-06-20,53,64.57,3422.21
172,P001,2023-06-21,69,52.06,3592.14
173,P001,2023-06-22,61,55.78,3402.58
174,P001,2023-06-23,84,52.76,4431.84
175,P001,2023-06-24,64,61.44,3932.16
176,P001,2023-06-25,57,62.02,3535.14
177,P001,2023-06-26,47,63.04,2962.88
178,P001,2023-06-27,50,62.25,3112.5
179,P001,2023-06-28,53,63.09,3343.77
180,P001,2023-06-29,66,56.57,3733.62
181,P001,2023-06-30,58,62.64,3633.12
182,P001,2023-07-01,49,63.87,3129.63
183,P001,2023-07-02,70,57.43,4020.1
184,P001,2023-07-03,82,52.54,4308.28
185,P001,2023-07-04,60,64.53,3871.8
186,P001,2023-07-05,65,55.79,3626.35
187,P001,2023-07-06,52,64.42,3349.84
188,P001,2023-07-07,48,65.25,3132.0
189,P001,2023-07-08,51,59.59,3039.09
190,P001,2023-07-09,90,55.39,4985.1
191,P001,2023-07-10,77,55.92,4305.84
192,P001,2023-07-11,59,62.86,3708.74
193,P001,2023-07-12,52,62.83,3267.16
194,P001,2023-07-13,65,51.85,3370.25
195,P001,2023-07-14,67,59.23,3968.41
196,P001,2023-07-15,63,56.25,3543.75
197,P001,2023-07-16,77,52.75,4061.75
198,P001,2023-07-17,52,60.26,3133.52
199,P001,2023-07-18,76,52.51,3990.76
200,P001,2023-07-19,69,52.08,3593.52
201,P001,2023-07-20,48,63.32,3039.36
202,P001,2023-07-21,76,52.26,3971.76
203,P001,2023-07-22,39,65.79,2565.81
204,P001,2023-07-23,42,63.18,2653.56
205,P001,2023-07-24,44,65.2,2868.8
206,P001,2023-07-25,51,62.65,3195.15
207,P001,2023-07-26,66,59.37,3918.42
208,P001,2023-07-27,71,52.66,3738.86
209,P001,2023-07-28,60,58.38,3502.8
210,P001,2023-07-29,72,51.84,3732.48
211,P001,2023-07-30,76,52.77,4010.52
212,P001,2023-07-31,47,62.18,2922.46
213,P001,2023-08-01,53,59.74,3166.22
214,P001,2023-08-02,67,55.28,3703.76
215,P001,2023-08-03,49,64.02,3136.98
216,P001,2023-08-04,70,52.1,3647.0
217,P001,2023-08-05,55,59.3,3261.5
218,P001,2023-08-06,57,60.43,3444.51
219,P001,2023-08-07,71,61.43,4361.53
220,P001,2023-08-08,48,59.75,2868.0
221,P001,2023-08-09,65,64.51,4193.15
222,P001,2023-08-10,56,55.15,3088.4
223,P001,2023-08-11,48,53.81,2582.88
224,P001,2023-08-12,50,59.74,2987.0
225,P001,2023-08-13,74,52.16,3859.84
226,P001,2023-08-14,82,55.63,4561.66
227,P001,2023-08-15,43,63.2,2717.6
228,P001,2023-08-16,50,64.65,3232.5
229,P001,2023-08-17,40,63.33,2533.2
230,P001,2023-08-18,61,64.98,3963.78
231,P001,2023-08-19,57,63.98,3646.86
232,P001,2023-08-20,42,65.8,2763.6
233,P001,2023-08-21,52,53.25,2769.0
234,P001,2023-08-22,56,65.54,3670.24
235,P001,2023-08-23,47,63.62,2990.14
236,P001,2023-08-24,71,57.21,4061.91
237,P001,2023-08-25,63,55.09,3470.67
238,P001,2023-08-26,50,62.52,3126.0
239,P001,2023-08-27,43,65.16,2801.88
240,P001,2023-08-28,64,57.75,3696.0
241,P001,2023-08-29,69,52.93,3652.17
242,P001,2023-08-30,70,54.42,3809.4
243,P001,2023-08-31,41,61.07,2503.87
244,P001,2023-09-01,77,52.69,4057.13
245,P001,2023-09-02,61,61.06,3724.66
246,P001,2023-09-03,53,58.79,3115.87
247,P001,2023-09-04,61,63.77,3889.97
248,P001,2023-09-05,57,64.14,3655.98
249,P001,2023-09-06,61,57.04,3479.44
250,P001,2023-09-07,59,61.55,3631.45
251,P001,2023-09-08,71,54.19,3847.49
252,P001,2023-09-09,42,56.87,2388.54
253,P001,2023-09-10,52,57.55,2992.6
254,P001,2023-09-11,58,58.7,3404.6
255,P001,2023-09-12,59,62.74,3701.66
256,P001,2023-09-13,36,63.92,2301.12
257,P001,2023-09-14,33,65.23,2152.59
258,P001,2023-09-15,53,57.88,3067.64
259,P001,2023-09-16,31,65.69,2036.39
260,P001,2023-09-17,49,60.49,2964.01
261,P001,2023-09-18,63,54.59,3439.17
262,P001,2023-09-19,53,53.72,2847.16
263,P001,2023-09-20,56,56.18,3146.08
264,P001,2023-09-21,56,61.0,3416.0
265,P001,2023-09-22,57,53.58,3054.06
266,P001,2023-09-23,55,53.65,2950.75
267,P001,2023-09-24,63,52.32,3296.16
268,P001,2023-09-25,52,54.09,2812.68
269,P001,2023-09-26,75,56.45,4233.75
270,P001,2023-09-27,67,51.58,3455.86
271,P001,2023-09-28,41,62.98,2582.18
272,P001,2023-09-29,46,64.09,2948.14
273,P001,2023-09-30,43,64.8,2786.4
274,P001,2023-10-01,41,63.08,2586.28
275,P001,2023-10-02,40,62.21,2488.4
276,P001,2023-10-03,47,56.55,2657.85
277,P001,2023-10-04,39,58.26,2272.14
278,P001,2023-10-05,61,57.93,3533.73
279,P001,2023-10-06,47,62.2,2923.4
280,P001,2023-10-07,51,58.67,2992.17
281,P001,2023-10-08,47,58.97,2771.59
282,P001,2023-10-09,41,58.98,2418.18
283,P001,2023-10-10,49,54.63,2676.87
284,P001,2023-10-11,50,51.29,2564.5
285,P001,2023-10-12,48,55.82,2679.36
286,P001,2023-10-13,50,52.79,2639.5
287,P001,2023-10-14,52,64.35,3346.2
288,P001,2023-10-15,49,62.83,3078.67
289,P001,2023-10-16,49,58.47,2865.03
290,P001,2023-10-17,41,59.79,2451.39
291,P001,2023-10-18,37,62.17,2300.29
292,P001,2023-10-19,53,55.25,2928.25
293,P001,2023-10-20,60,56.44,3386.4
294,P001,2023-10-21,69,56.33,3886.77
295,P001,2023-10-22,32,65.79,2105.28
296,P001,2023-10-23,65,52.52,3413.8
297,P001,2023-10-24,52,53.28,2770.56
298,P001,2023-10-25,53,53.79,2850.87
299,P001,2023-10-26,54,55.27,2984.58
300,P001,2023-10-27,45,57.15,2571.75
301,P001,2023-10-28,38,65.72,2497.36
302,P001,2023-10-29,34,65.53,2228.02
303,P001,2023-10-30,38,63.97,2430.86
304,P001,2023-10-31,64,53.55,3427.2
305,P001,2023-11-01,43,61.02,2623.86
306,P001,2023-11-02,50,59.56,2978.0
307,P001,2023-11-03,46,55.19,2538.74
308,P001,2023-11-04,55,55.85,3071.75
309,P001,2023-11-05,37,57.37,2122.69
310,P001,2023-11-06,56,52.71,2951.76
311,P001,2023-11-07,48,60.15,2887.2
312,P001,2023-11-08,43,53.31,2292.33
313,P001,2023-11-09,42,58.21,2444.82
314,P001,2023-11-10,50,56.04,2802.0
315,P001,2023-11-11,64,53.01,3392.64
316,P001,2023-11-12,48,54.81,2630.88
317,P001,2023-11-13,46,61.21,2815.66
318,P001,2023-11-14,58,58.06,3367.48
319,P001,2023-11-15,52,57.17,2972.84
320,P001,2023-11-16,38,63.45,2411.1
321,P001,2023-11-17,39,65.46,2552.94
322,P001,2023-11-18,34,65.06,2212.04
323,P001,2023-11-19,55,53.71,2954.05
324,P001,2023-11-20,43,59.61,2563.23
325,P001,2023-11-21,41,63.62,2608.42
326,P001,2023-11-22,50,54.02,2701.0
327,P001,2023-11-23,58,53.45,3100.1
328,P001,2023-11-24,40,60.97,2438.8
329,P001,2023-11-25,52,58.84,3059.68
330,P001,2023-11-26,46,56.88,2616.48
331,P001,2023-11-27,29,63.24,1833.96
332,P001,2023-11-28,40,57.93,2317.2
333,P001,2023-11-29,51,55.51,2831.01
334,P001,2023-11-30,68,54.47,3703.96
335,P001,2023-12-01,43,64.48,2772.64
336,P001,2023-12-02,27,64.59,1743.93
337,P001,2023-12-03,34,60.35,2051.9
338,P001,2023-12-04,64,53.08,3397.12
339,P001,2023-12-05,43,62.9,2704.7
340,P001,2023-12-06,53,64.4,3413.2
341,P001,2023-12-07,37,62.82,2324.34
342,P001,2023-12-08,45,54.72,2462.4
343,P001,2023-12-09,41,62.15,2548.15
344,P001,2023-12-10,37,62.43,2309.91
345,P001,2023-12-11,44,64.14,2822.16
346,P001,2023-12-12,51,52.65,2685.15
347,P001,2023-12-13,37,63.69,2356.53
348,P001,2023-12-14,34,62.95,2140.3
349,P001,2023-12-15,60,53.24,3194.4
350,P001,2023-12-16,35,61.79,2162.65
351,P001,2023-12-17,45,60.61,2727.45
352,P001,2023-12-18,68,54.77,3724.36
353,P001,2023-12-19,37,56.18,2078.66
354,P001,2023-12-20,58,57.92,3359.36
355,P001,2023-12-21,38,65.2,2477.6
356,P001,2023-12-22,38,58.58,2226.04
357,P001,2023-12-23,44,60.16,2647.04
358,P001,2023-12-24,46,61.44,2826.24
359,P001,2023-12-25,33,64.83,2139.39
360,P001,2023-12-26,47,59.63,2802.61
361,P001,2023-12-27,54,60.09,3244.86
362,P001,2023-12-28,34,65.0,2210.0
363,P001,2023-12-29,32,64.87,2075.84
364,P001,2023-12-30,36,65.76,2367.36
365,P001,2023-12-31,39,63.57,2479.23
366,P002,2023-01-01,56,94.97,5318.32
367,P002,2023-01-02,64,86.36,5527.04
368,P002,2023-01-03,51,85.11,4340.61
369,P002,2023-01-04,55,93.33,5133.15
370,P002,2023-01-05,28,107.99,3023.72
371,P002,2023-01-06,59,93.65,5525.35
372,P002,2023-01-07,41,96.3,3948.3
373,P002,2023-01-08,43,90.61,3896.23
374,P002,2023-01-09,51,89.4,4559.4
375,P002,2023-01-10,51,97.45,4969.95
376,P002,2023-01-11,47,94.05,4420.35
377,P002,2023-01-12,38,99.5,3781.0
378,P002,2023-01-13,42,109.02,4578.84
379,P002,2023-01-14,47,88.71,4169.37
380,P002,2023-01-15,37,109.91,4066.67
381,P002,2023-01-16,41,97.55,3999.55
382,P002,2023-01-17,42,103.74,4357.08
383,P002,2023-01-18,50,90.24,4512.0
384,P002,2023-01-19,53,89.76,4757.28
385,P002,2023-01-20,81,85.91,6958.71
386,P002,2023-01-21,46,86.63,3984.98
387,P002,2023-01-22,51,104.38,5323.38
388,P002,2023-01-23,31,96.01,2976.31
389,P002,2023-01-24,40,95.01,3800.4
390,P002,2023-01-25,53,89.54,4745.62
391,P002,2023-01-26,39,106.53,4154.67
392,P002,2023-01-27,54,91.76,4955.04
393,P002,2023-01-28,41,101.09,4144.69
394,P002,2023-01-29,52,88.89,4622.28
395,P002,2023-01-30,42,102.89,4321.38
396,P002,2023-01-31,51,90.54,4617.54
397,P002,2023-02-01,54,90.77,4901.58
398,P002,2023-02-02,54,89.45,4830.3
399,P002,2023-02-03,43,101.31,4356.33
400,P002,2023-02-04,52,91.07,4735.64
401,P002,2023-02-05,46,103.05,4740.3
402,P002,2023-02-06,52,94.92,4935.84
403,P002,2023-02-07,41,101.69,4169.29
404,P002,2023-02-08,36,107.4,3866.4
405,P002,2023-02-09,46,85.32,3924.72
406,P002,2023-02-10,54,107.31,5794.74
407,P002,2023-02-11,36,105.43,3795.48
408,P002,2023-02-12,45,94.48,4251.6
409,P002,2023-02-13,52,99.75,5187.0
410,P002,2023-02-14,40,95.23,3809.2
411,P002,2023-02-15,36,98.79,3556.44
412,P002,2023-02-16,38,108.7,4130.6
413,P002,2023-02-17,51,104.08,5308.08
414,P002,2023-02-18,43,104.99,4514.57
415,P002,2023-02-19,69,95.62,6597.78
416,P002,2023-02-20,59,91.44,5394.96
417,P002,2023-02-21,46,88.48,4070.08
418,P002,2023-02-22,54,91.8,4957.2
419,P002,2023-02-23,46,85.45,3930.7
420,P002,2023-02-24,51,98.84,5040.84
421,P002,2023-02-25,42,101.28,4253.76
422,P002,2023-02-26,64,85.27,5457.28
423,P002,2023-02-27,71,88.41,6277.11
424,P002,2023-02-28,57,101.62,5792.34
425,P002,2023-03-01,58,89.38,5184.04
426,P002,2023-03-02,61,94.57,5768.77
427,P002,2023-03-03,49,97.96,4800.04
428,P002,2023-03-04,51,100.07,5103.57
429,P002,2023-03-05,46,91.12,4191.52
430,P002,2023-03-06,49,93.88,4600.12
431,P002,2023-03-07,52,102.97,5354.44
432,P002,2023-03-08,40,96.89,3875.6
433,P002,2023-03-09,50,101.58,5079.0
434,P002,2023-03-10,60,90.36,5421.6
435,P002,2023-03-11,69,85.77,5918.13
436,P002,2023-03-12,50,86.28,4314.0
437,P002,2023-03-13,40,97.4,3896.0
438,P002,2023-03-14,54,104.26,5630.04
439,P002,2023-03-15,63,87.66,5522.58
440,P002,2023-03-16,49,97.38,4771.62
441,P002,2023-03-17,38,102.2,3883.6
442,P002,2023-03-18,43,105.47,4535.21
443,P002,2023-03-19,39,104.97,4093.83
444,P002,2023-03-20,58,99.75,5785.5
445,P002,2023-03-21,45,94.01,4230.45
446,P002,2023-03-22,49,98.54,4828.46
447,P002,2023-03-23,51,106.81,5447.31
448,P002,2023-03-24,54,101.46,5478.84
449,P002,2023-03-25,45,102.3,4603.5
450,P002,2023-03-26,57,97.23,5542.11
451,P002,2023-03-27,66,90.52,5974.32
452,P002,2023-03-28,64,85.84,5493.76
453,P002,2023-03-29,52,102.43,5326.36
454,P002,2023-03-30,42,109.27,4589.34
455,P002,2023-03-31,52,108.6,5647.2
456,P002,2023-04-01,49,106.1,5198.9
457,P002,2023-04-02,49,92.97,4555.53
458,P002,2023-04-03,70,88.01,6160.7
459,P002,2023-04-04,57,86.92,4954.44
460,P002,2023-04-05,62,103.11,6392.82
461,P002,2023-04-06,71,86.63,6150.73
462,P002,2023-04-07,38,104.76,3980.88
463,P002,2023-04-08,68,92.96,6321.28
464,P002,2023-04-09,56,100.39,5621.84
465,P002,2023-04-10,69,90.81,6265.89
466,P002,2023-04-11,50,104.96,5248.0
467,P002,2023-04-12,56,109.94,6156.64
468,P002,2023-04-13,52,95.04,4942.08
469,P002,2023-04-14,65,96.99,6304.35
470,P002,2023-04-15,49,109.59,5369.91
471,P002,2023-04-16,39,104.2,4063.8
472,P002,2023-04-17,39,103.43,4033.77
473,P002,2023-04-18,59,90.96,5366.64
474,P002,2023-04-19,54,92.17,4977.18
475,P002,2023-04-20,45,92.4,4158.0
476,P002,2023-04-21,44,101.98,4487.12
477,P002,2023-04-22,61,90.45,5517.45
478,P002,2023-04-23,43,106.97,4599.71
479,P002,2023-04-24,67,108.61,7276.87
480,P002,2023-04-25,58,89.17,5171.86
481,P002,2023-04-26,56,109.77,6147.12
482,P002,2023-04-27,71,97.81,6944.51
483,P002,2023-04-28,58,90.76,5264.08
484,P002,2023-04-29,58,89.65,5199.7
485,P002,2023-04-30,47,104.48,4910.56
486,P002,2023-05-01,49,109.22,5351.78
487,P002,2023-05-02,49,107.08,5246.92
488,P002,2023-05-03,45,103.95,4677.75
489,P002,2023-05-04,58,102.39,5938.62
490,P002,2023-05-05,62,90.6,5617.2
491,P002,2023-05-06,94,90.59,8515.46
492,P002,2023-05-07,66,99.49,6566.34
493,P002,2023-05-08,66,87.28,5760.48
494,P002,2023-05-09,75,88.23,6617.25
495,P002,2023-05-10,56,107.21,6003.76
496,P002,2023-05-11,68,98.76,6715.68
497,P002,2023-05-12,54,87.17,4707.18
498,P002,2023-05-13,54,91.48,4939.92
499,P002,2023-05-14,48,103.08,4947.84
500,P002,2023-05-15,66,90.5,5973.0
501,P002,2023-05-16,33,102.07,3368.31
502,P002,2023-05-17,50,99.8,4990.0
503,P002,2023-05-18,64,105.61,6759.04
504,P002,2023-05-19,49,99.13,4857.37
505,P002,2023-05-20,67,91.67,6141.89
506,P002,2023-05-21,58,101.45,5884.1
507,P002,2023-05-22,55,106.25,5843.75
508,P002,2023-05-23,58,105.91,6142.78
509,P002,2023-05-24,64,102.43,6555.52
510,P002,2023-05-25,68,103.81,7059.08
511,P002,2023-05-26,64,88.96,5693.44
512,P002,2023-05-27,48,103.58,4971.84
513,P002,2023-05-28,72,89.01,6408.72
514,P002,2023-05-29,63,97.68,6153.84
515,P002,2023-05-30,82,85.15,6982.3
516,P002,2023-05-31,40,109.52,4380.8
517,P002,2023-06-01,64,100.79,6450.56
518,P002,2023-06-02,49,98.49,4826.01
519,P002,2023-06-03,57,104.49,5955.93
520,P002,2023-06-04,56,98.52,5517.12
521,P002,2023-06-05,61,109.06,6652.66
522,P002,2023-06-06,42,108.29,4548.18
523,P002,2023-06-07,73,87.55,6391.15
524,P002,2023-06-08,76,86.69,6588.44
525,P002,2023-06-09,62,92.51,5735.62
526,P002,2023-06-10,60,99.54,5972.4
527,P002,2023-06-11,60,93.64,5618.4
528,P002,2023-06-12,54,106.78,5766.12
529,P002,2023-06-13,54,109.33,5903.82
530,P002,2023-06-14,68,85.61,5821.48
531,P002,2023-06-15,72,85.54,6158.88
532,P002,2023-06-16,40,104.25,4170.0
533,P002,2023-06-17,44,102.07,4491.08
534,P002,2023-06-18,47,109.92,5166.24
535,P002,2023-06-19,52,95.64,4973.28
536,P002,2023-06-20,53,104.86,5557.58
537,P002,2023-06-21,66,102.33,6753.78
538,P002,2023-06-22,80,91.82,7345.6
539,P002,2023-06-23,50,108.76,5438.0
540,P002,2023-06-24,43,108.58,4668.94
541,P002,2023-06-25,52,95.48,4964.96
542,P002,2023-06-26,85,91.85,7807.25
543,P002,2023-06-27,58,109.59,6356.22
544,P002,2023-06-28,65,90.74,5898.1
545,P002,2023-06-29,68,90.32,6141.76
546,P002,2023-06-30,61,94.2,5746.2
547,P002,2023-07-01,56,106.6,5969.6
548,P002,2023-07-02,67,89.63,6005.21
549,P002,2023-07-03,57,106.7,6081.9
550,P002,2023-07-04,58,106.11,6154.38
551,P002,2023-07-05,47,104.02,4888.94
552,P002,2023-07-06,75,85.8,6435.0
553,P002,2023-07-07,61,108.01,6588.61
554,P002,2023-07-08,64,97.03,6209.92
555,P002,2023-07-09,73,87.92,6418.16
556,P002,2023-07-10,54,95.75,5170.5
557,P002,2023-07-11,60,90.0,5400.0
558,P002,2023-07-12,57,99.54,5673.78
559,P002,2023-07-13,59,91.72,5411.48
560,P002,2023-07-14,70,96.37,6745.9
561,P002,2023-07-15,70,85.28,5969.6
562,P002,2023-07-16,54,96.99,5237.46
563,P002,2023-07-17,66,99.99,6599.34
564,P002,2023-07-18,44,106.49,4685.56
565,P002,2023-07-19,53,104.49,5537.97
566,P002,2023-07-20,64,87.61,5607.04
567,P002,2023-07-21,94,91.04,8557.76
568,P002,2023-07-22,55,102.55,5640.25
569,P002,2023-07-23,51,98.98,5047.98
570,P002,2023-07-24,63,93.76,5906.88
571,P002,2023-07-25,70,85.82,6007.4
572,P002,2023-07-26,61,88.31,5386.91
573,P002,2023-07-27,67,99.18,6645.06
574,P002,2023-07-28,73,89.99,6569.27
575,P002,2023-07-29,70,89.18,6242.6
576,P002,2023-07-30,49,102.65,5029.85
577,P002,2023-07-31,94,85.78,8063.32
578,P002,2023-08-01,52,106.76,5551.52
579,P002,2023-08-02,47,102.84,4833.48
580,P002,2023-08-03,59,105.36,6216.24
581,P002,2023-08-04,68,86.99,5915.32
582,P002,2023-08-05,57,105.42,6008.94
583,P002,2023-08-06,61,96.3,5874.3
584,P002,2023-08-07,71,103.28,7332.88
585,P002,2023-08-08,57,87.03,4960.71
586,P002,2023-08-09,46,104.73,4817.58
587,P002,2023-08-10,82,101.46,8319.72
588,P002,2023-08-11,51,102.97,5251.47
589,P002,2023-08-12,53,90.7,4807.1
590,P002,2023-08-13,57,102.0,5814.0
591,P002,2023-08-14,78,86.8,6770.4
592,P002,2023-08-15,51,103.17,5261.67
593,P002,2023-08-16,39,103.56,4038.84
594,P002,2023-08-17,51,94.27,4807.77
595,P002,2023-08-18,37,109.68,4058.16
596,P002,2023-08-19,69,103.12,7115.28
597,P002,2023-08-20,44,97.16,4275.04
598,P002,2023-08-21,50,99.8,4990.0
599,P002,2023-08-22,52,107.8,5605.6
600,P002,2023-08-23,44,100.78,4434.32
601,P002,2023-08-24,55,103.32,5682.6
602,P002,2023-08-25,44,107.72,4739.68
603,P002,2023-08-26,67,89.48,5995.16
604,P002,2023-08-27,54,97.3,5254.2
605,P002,2023-08-28,60,91.17,5470.2
606,P002,2023-08-29,65,97.86,6360.9
