produkt_id,datum,wettbewerbspreis
P002,2023-11-06,98.96
P002,2023-11-13,112.77
P002,2023-11-20,90.51
P002,2023-11-27,97.88
P002,2023-12-04,91.41
P002,2023-12-11,109.15
P002,2023-12-18,107.54
P002,2023-12-25,98.27
P003,2023-01-02,26.71
P003,2023-01-09,24.96
P003,2023-01-16,27.22
P003,2023-01-23,25.33
P003,2023-01-30,25.07
P003,2023-02-06,28.33
P003,2023-02-13,24.06
P003,2023-02-20,23.24
P003,2023-02-27,26.14
P003,2023-03-06,28.55
P003,2023-03-13,24.85
P003,2023-03-20,22.88
P003,2023-03-27,24.61
P003,2023-04-03,25.65
P003,2023-04-10,23.5
P003,2023-04-17,26.6
P003,2023-04-24,28.72
P003,2023-05-01,25.31
P003,2023-05-08,24.71
P003,2023-05-15,24.99
P003,2023-05-22,23.21
P003,2023-05-29,28.01
P003,2023-06-05,25.08
P003,2023-06-12,24.91
P003,2023-06-19,26.61
P003,2023-06-26,25.25
P003,2023-07-03,26.54
P003,2023-07-10,22.87
P003,2023-07-17,27.57
P003,2023-07-24,28.37
P003,2023-07-31,26.54
P003,2023-08-07,28.45
P003,2023-08-14,23.44
P003,2023-08-21,25.47
P003,2023-08-28,26.25
P003,2023-09-04,26.13
P003,2023-09-11,25.0
P003,2023-09-18,24.6
P003,2023-09-25,23.28
P003,2023-10-02,24.94
P003,2023-10-09,23.51
P003,2023-10-16,27.08
P003,2023-10-23,23.8
P003,2023-10-30,22.86
P003,2023-11-06,25.94
P003,2023-11-13,26.21
P003,2023-11-20,27.94
P003,2023-11-27,26.1
P003,2023-12-04,24.65
P003,2023-12-11,27.51
P003,2023-12-18,25.87
P003,2023-12-25,22.99
P004,2023-01-02,36.44
P004,2023-01-09,39.43
P004,2023-01-16,34.96
P004,2023-01-23,34.08
P004,2023-01-30,32.75
P004,2023-02-06,32.82
P004,2023-02-13,35.28
P004,2023-02-20,36.7
P004,2023-02-27,32.2
P004,2023-03-06,39.71
P004,2023-03-13,38.1
P004,2023-03-20,36.62
P004,2023-03-27,38.74
P004,2023-04-03,32.19
P004,2023-04-10,35.66
P004,2023-04-17,37.0
P004,2023-04-24,38.74
P004,2023-05-01,38.34
P004,2023-05-08,33.91
P004,2023-05-15,39.72
P004,2023-05-22,32.58
P004,2023-05-29,39.15
P004,2023-06-05,39.98
P004,2023-06-12,33.04
P004,2023-06-19,37.81
P004,2023-06-26,31.84
P004,2023-07-03,35.04
P004,2023-07-10,36.01
P004,2023-07-17,36.57
P004,2023-07-24,39.68
P004,2023-07-31,37.37
P004,2023-08-07,35.7
P004,2023-08-14,38.57
P004,2023-08-21,39.81
P004,2023-08-28,31.68
P004,2023-09-04,40.09
P004,2023-09-11,32.24
P004,2023-09-18,38.61
P004,2023-09-25,33.94
P004,2023-10-02,32.65
P004,2023-10-09,35.34
P004,2023-10-16,37.12
P004,2023-10-23,34.82
P004,2023-10-30,31.97
P004,2023-11-06,36.73
P004,2023-11-13,39.38
P004,2023-11-20,34.84
P004,2023-11-27,33.38
P004,2023-12-04,35.36
P004,2023-12-11,31.91
P004,2023-12-18,38.67
P004,2023-12-25,38.72
P005,2023-01-02,47.1
P005,2023-01-09,44.46
P005,2023-01-16,49.49
P005,2023-01-23,46.73
P005,2023-01-30,49.78
P005,2023-02-06,47.59
P005,2023-02-13,49.31
P005,2023-02-20,47.22
P005,2023-02-27,45.15
P005,2023-03-06,51.27
P005,2023-03-13,46.58
P005,2023-03-20,47.3
P005,2023-03-27,42.97
P005,2023-04-03,47.53
P005,2023-04-10,46.92
P005,2023-04-17,42.57
P005,2023-04-24,41.16
P005,2023-05-01,47.29
P005,2023-05-08,49.08
P005,2023-05-15,46.38
P005,2023-05-22,43.04
P005,2023-05-29,47.99
P005,2023-06-05,41.39
P005,2023-06-12,45.46
P005,2023-06-19,42.33
P005,2023-06-26,42.57
P005,2023-07-03,42.77
P005,2023-07-10,44.84
P005,2023-07-17,41.07
P005,2023-07-24,44.97
P005,2023-07-31,46.25
P005,2023-08-07,45.93
P005,2023-08-14,44.8
P005,2023-08-21,49.93
P005,2023-08-28,42.13
P005,2023-09-04,46.18
P005,2023-09-11,41.19
P005,2023-09-18,41.29
P005,2023-09-25,46.95
P005,2023-10-02,46.86
P005,2023-10-09,50.37
P005,2023-10-16,46.77
P005,2023-10-23,51.29
P005,2023-10-30,41.04
P005,2023-11-06,41.59
P005,2023-11-13,40.99
P005,2023-11-20,42.57
P005,2023-11-27,46.58
P005,2023-12-04,47.75
P005,2023-12-11,41.0
P005,2023-12-18,51.13
P005,2023-12-25,49.96
